Product Discription,Price
Coconics XTREME Intel i7-10510U 14.0” FHD Laptop (8 GB RAM/ 512GB M.2 SSD 2280/ Windows 10 Professional/ Black/ 1100 gms),"Rs.  79,415"
"HP 15 (2021) Thin & Light 11th Gen Core i5 Laptop, 8 GB RAM, 512GB SSD, 15.6-inch (39.62 cms) FHD Screen, Windows 10, MS Office, Built-in Alexa (15s-fq2535TU)","Rs.  65,212"
"HP 15 11th Gen Intel Core i3 Processor 15.6"" (39.62cms) FHD Laptop with Alexa Built-in(i3-1115G4/8GB/1TB HDD/M.2 Slot/Win 10/MS Office/Natural Silver/1.76 Kg), 15s-du3038TU","Rs.  45,814"
"HP 250 G8 Commercial Laptop (11th Gen Intel Core i3, 8GB RAM, 512GB SSD, Win 10 Professional Edition), 3Y668PA - for Small and Medium Business","Rs.  42,687"
"HP 15 11th Gen Intel Core i3 Processor 15.6"" (39.62cms) FHD Laptop (8GB/512GB SSD/Win 10/MS Office/Integrated Graphics/Natural Silver/1.69 Kg), 15s-fr2006TU","Rs.  45,996"
HP Pavilion 11th Gen Intel Core i5 Processor 15.6-inch FHD Laptop,"Rs.  89,999"
Coconics XTREME Intel i5-1035G1 15.6” FHD Laptop (8 GB RAM/ 512GB M.2 SSD 2280/ Windows 10 Pro/ Black/ 1590 gms),"Rs.  57,048"
HP 15 11th Gen Intel Core i5 Processor 15.6-inch FHD Laptop,"Rs.  59,800"
HP Pavilion x360 Core i5 11th Gen 2 in 1 Laptop,"Rs.  81,900"
HP 15 11th Gen Intel Core i3 Processor 15.6,"Rs.  45,999"
HP 250 G8 Commercial Laptop,"Rs.  57,890"
HP 14 11th Gen Intel Core i5 Processor 14-inch FHD Laptop,"Rs.  70,000"
HP Core i3 10th Gen Laptop,"Rs.  55,990"
HP 250 G8 Notebook PC  CORE I3,"Rs.  44,990"
HP Pavilion Gaming 9th Gen Intel Core i5 Processor 15.6-inch,"Rs.  82,000"
"HP 15 11th Gen Intel Core i5 - 1135G7(8GB/1TB HDD/M.2 Slot/Win 10/MS Office/2GB Graphics/Jet Black/1.77 Kg), 15s-du3060TX, 15.6-inch FHD Laptop with Alexa Built-in","Rs.  64,300"
HP Envy x360 Core i5 11th Gen,"Rs.  89,999"
HP Pavilion (2021) Thin & Light 11th Gen Core i7 Laptop,"Rs.  99,000"
